"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"1",1,"AK",5177448,17613194,79143411,22982540,21999313,10576920,11095109,7583789,3009223,1201693,264925,176866,253033,2019
"2",1,"AL",25336388,125724566,486516058,107191453,121774176,65186557,79059418,73832318,24893230,9237132,4151341,929919,260514,2019
"3",1,"AR",15879583,77263513,298354843,66355749,78976629,39007957,46861458,42431045,15255085,5981084,2605147,669551,211138,2019
"4",1,"AZ",42704030,178937476,735862831,189789646,177449311,88035860,111000035,115644267,35025712,9773355,6385612,1532724,1226309,2019
"5",1,"CA",237152236,985367980,4275355451,1191931589,1100528651,500616964,600041491,568570969,208441384,71145363,23110647,5577718,5390675,2019
"6",1,"CO",37301455,138721381,705003096,174656600,181291986,86745558,109312495,104933699,29182367,12039091,4153668,1064697,1622935,2019
"7",1,"CT",21609029,88805066,371591545,89276613,97260523,46337493,54740803,55138773,19240515,6648833,1842063,376428,729501,2019
"8",1,"DC",6328462,15381086,109168987,44433703,29535281,13557458,13008288,6462612,1389364,289369,224636,105393,162883,2019
"9",1,"DE",5616124,24274510,95230304,21952385,23378581,11940466,15555543,14228328,5475299,1846514,717621,80844,54723,2019
"10",1,"FL",113026057,545234825,2140967171,570105603,541618288,272864326,332856514,291101463,86112826,27233254,13521917,3059559,2493421,2019
"11",1,"GA",58200898,266906115,1033023216,237086696,254005469,129216217,165815225,157424243,58674204,17448001,9200477,2673804,1478880,2019
"12",1,"HI",8584923,35315727,151731327,46850026,40323414,17010676,20205249,23490513,2668397,595264,287118,96871,203799,2019
"13",1,"IA",19090239,78451168,341310457,80852828,91851634,40722483,47786448,47732772,19540399,7458036,3872944,975611,517302,2019
"14",1,"ID",10374408,43839849,175041665,42089646,47799887,22726690,25783928,22411292,8127007,3352775,1842111,584263,324066,2019
"15",1,"IL",82740899,311025224,1468066590,390161515,375809285,175564985,212451004,207336550,73656067,18207888,10042065,2853525,1983706,2019
"16",1,"IN",39989458,166824748,712875628,174813964,183397016,90187797,107762125,102193242,34573373,11716214,6121638,1340862,769397,2019
"17",1,"KS",17828329,72152302,328770169,81519737,88549165,39105597,46897016,45447622,16561670,6226982,3217318,797161,447901,2019
"18",1,"KY",26947969,111149033,495097463,111191631,126239003,65806155,78608254,72538563,25494728,9316549,4560342,987103,355135,2019
"19",1,"LA",25712343,118305318,551199184,140973504,140450468,70664358,87370836,71948730,24795792,10214634,3626645,773244,380973,2019
"20",1,"MA",45857104,167455539,861012254,223710933,225928423,106020391,124938877,123485693,41163555,10483838,3237599,648158,1394787,2019
"21",1,"MD",35010303,151741447,655417900,169294168,157769604,76279159,100930080,102531738,35546209,8310016,3062604,744654,949668,2019
"22",1,"ME",8874741,32488993,126885421,26218833,32080403,16154992,19361656,20705894,7841166,2918578,1210104,216613,177182,2019
"23",1,"MI",59367453,249558800,1061584304,256366168,261534764,130954353,165366990,164479593,55161985,16895647,7625787,1660447,1538570,2019
"24",1,"MN",31984221,141430740,609627158,142885995,145981967,70123460,91219821,103497931,35082894,12213467,6022336,1347787,1251500,2019
"25",1,"MO",38828998,150510477,642140541,151385525,162798145,77050813,97996165,99568246,34771567,10645881,5602871,1524995,796333,2019
"26",1,"MS",14939291,77360233,293539199,68944030,74256179,35142744,45688040,42406134,16391177,6656727,3068463,801976,183729,2019
"27",1,"MT",7007012,25823786,109378958,28501776,31927211,13249876,13669089,12027868,5213842,2805662,1397305,335947,250382,2019
"28",1,"NC",56899849,264008462,1066002776,234470998,265966904,137272653,175617098,167965447,55204232,17683370,8552712,2060680,1208682,2019
"29",1,"ND",4501560,18988845,77700638,19895406,22091002,10273150,9839460,7514746,3847826,2553149,1204978,334514,146407,2019
"30",1,"NE",11309271,48315323,210234225,50151040,57196975,26855046,32441432,26527404,9259862,4740411,2219841,556845,285369,2019
"31",1,"NH",7933284,33988357,143114875,28467454,35042936,17937246,22044650,24585007,10502477,3323283,870274,138484,203064,2019
"32",1,"NJ",56484813,218835270,1000429485,275468643,249811716,116645520,143399054,140999190,51488637,15710999,4584226,913746,1407754,2019
"33",1,"NM",12649414,52110299,262875125,67557186,72125106,33954562,38805595,29155918,11132634,6223722,2846764,736906,336732,2019
"34",1,"NV",19417758,74360869,333959171,97048049,81482792,40401610,54975202,45332254,7834765,3217581,2232501,877419,556998,2019
"35",1,"NY",150284274,453672482,2384872816,694830822,590200289,288206498,361208427,316877346,89670355,27928267,10271561,2450420,3228831,2019
"36",1,"OH",71784493,289480610,1211538546,304381586,300232409,146167074,186092257,188802870,55704823,18629644,8550728,1901547,1075608,2019
"37",1,"OK",23507385,98354359,411994942,100491517,105915324,49770284,61255918,62975275,19620116,7493471,3482920,675494,314623,2019
"38",1,"OR",26541584,102973347,472304778,118040143,132992511,59758551,66812318,63583736,18828690,7435897,3384120,691616,777196,2019
"39",1,"PA",79948308,315857057,1318642354,337564799,328648670,162430267,204315843,192124415,59248661,21330578,10271925,1673304,1033892,2019
"40",1,"RI",6364347,26312226,111833718,27787909,29652538,13844008,16852846,16583317,5209966,1312601,375451,75961,139121,2019
"41",1,"SC",26708111,130417962,513348199,115121353,129384224,66426400,84089067,80883358,24005867,7721730,4314301,878845,523054,2019
"42",1,"SD",5192829,22072756,95074397,23569946,26317498,11678488,13095996,10727839,5111600,2675379,1398602,351271,147778,2019
"43",1,"TN",38214908,171013950,709132639,158018500,179553241,89821672,113754329,112904070,35242488,11249649,5984958,1760680,843052,2019
"44",1,"TX",150626912,736410529,2947560573,757283913,739317942,352021579,437263597,431887024,150122794,47483443,22645993,6308669,3225619,2019
"45",1,"UT",19202968,78491703,373201035,93667816,98078999,46926385,54852614,49057785,18692880,5930788,3668590,1454868,870310,2019
"46",1,"VA",48524552,214716753,926136746,233438795,231795328,115413874,142419897,136414553,43485061,14316069,6010635,1555274,1287260,2019
"47",1,"VT",4081278,15274626,64494924,14164296,16817375,8463313,9641561,9689366,3898198,1065256,542059,109497,104003,2019
"48",1,"WA",42924925,189964435,832820487,198411273,215734311,104398790,130103156,124573040,40037755,11488831,5271744,1048954,1752633,2019
"49",1,"WI",33012855,146656945,625443402,138376185,155728463,77342496,98824195,97604509,36932141,12432612,6002688,1246257,953856,2019
"50",1,"WV",11857282,43952328,174594734,40517181,45864133,21784432,26609767,24477521,9621891,3835552,1495679,285266,103312,2019
"51",1,"WY",3904560,13950510,67741469,17602233,20458121,8842168,7055993,5985651,4083809,2347266,1064917,196415,104896,2019
"52",2,"AK",4708528,15876568,71748052,20133450,19904990,9704154,10575387,7152607,2798623,870384,249001,117148,242308,2019
"53",2,"AL",22022781,114419371,441923931,95378407,109692928,58817076,72075627,68151866,23468103,9005672,4131601,887236,315415,2019
"54",2,"AR",13982900,70146348,271865327,61208560,71796290,35101083,42305447,38438907,13995986,5642796,2502904,654703,218651,2019
"55",2,"AZ",38614308,161578020,673719015,176643071,161468672,80523683,101620065,105148426,31922051,8708919,5245987,1356619,1081522,2019
"56",2,"CA",215343602,888868206,3778348034,1018000869,960255020,443923404,540131519,522089149,193058559,67276943,22765678,5797216,5049677,2019
"57",2,"CO",33593634,125394734,639125500,156316572,164273377,79884109,99856447,95613103,26401708,10593094,3538385,949846,1698859,2019
"58",2,"CT",19146527,80582333,342054250,80461520,89512974,42301362,50659928,51330065,18700898,6405386,1875296,348419,458402,2019
"59",2,"DC",5631272,13977352,81391070,28995447,20471916,11128834,11850593,6513399,1551137,331499,258504,117046,172695,2019
"60",2,"DE",4999059,21998933,88174478,20335317,21686929,11119189,14469624,13125725,4922560,1703318,635728,93452,82636,2019
"61",2,"FL",98345102,496213114,1978242165,508771594,497716025,254949971,313792288,276955490,82254019,25942778,12346987,2909437,2603576,2019
"62",2,"GA",50778576,242866468,951974560,213414936,232190510,118950113,154326234,147939729,55472770,16869130,8918280,2491100,1401758,2019
"63",2,"HI",7969538,31682662,135179758,40587462,35988913,15344217,18562061,21252824,2416751,513311,262189,85123,166907,2019
"64",2,"IA",17008396,71093520,312807528,75026667,84185466,37482372,43540504,43167280,17503202,7007932,3624684,814784,454637,2019
"65",2,"ID",9470146,39497570,159963806,39760411,43644004,20553352,23293458,20311833,7212444,2869902,1548685,473290,296427,2019
"66",2,"IL",72912756,282746968,1364674464,354889062,341733763,163889358,201357084,200016745,70511176,17519623,9697768,2949328,2110557,2019
"67",2,"IN",34919960,151879968,676480128,162616597,172428348,85021316,103184098,100095314,33928925,11516429,5662163,1292319,734619,2019
"68",2,"KS",15933149,65339679,299688821,75825065,80762969,35335097,41964169,40702060,15060014,5754424,3096544,753516,434963,2019
"69",2,"KY",23656146,101076630,456843651,100342223,117110640,60368605,73045784,67911334,23621551,8704180,4365345,962812,411177,2019
"70",2,"LA",22352271,107728197,497946711,125839519,125744398,63432891,79251882,65628389,23167125,9941207,3718427,822895,399978,2019
